2.1772 1.1926 0.3716 0.2279 0.8289 1.0393	0.0253 -0.6630 -0.7109 -1.3060 0.5499 0.7987	0.7530 0.3114 -0.2905 -1.1837 0.6673 -1.1037	-0.4773 0.0982 0.6189 1.2186 1.5164 0.7999	1.0152 0.7066 1.2058 -0.2107 0.8112 0.0993	0.3721 1.9328 -0.4541 -1.4142
1.0981 0.2440 -1.0572 -1.7317 0.0023 0.1611	0.9243 -0.0704 -0.5095 0.0069 0.3158 0.5363	1.0541 0.9077 -0.4328 -0.5415 0.9421 -0.6547	-0.8725 0.7950 -0.1847 -0.2418 -1.4258 0.2203	0.5693 0.0132 0.0692 -0.7990 0.3469 0.4099	-0.5538 -0.0089 -0.2753 -0.0678
-1.7924 -0.3254 -0.5843 0.5454 0.2917 0.2572	0.4160 -0.3186 -0.7770 -0.0208 0.7730 0.8971	-0.0830 0.2854 -0.2548 -0.5594 0.3119 -0.6441	1.5177 -1.2675 0.7879 0.8037 -0.2872 0.5347	0.4576 0.8352 0.0226 -0.9867 0.3837 0.9848	-1.3630 -1.1342 -0.3604 1.2173
-1.4476 1.0549 0.3363 0.7250 0.1780 0.5951	0.9455 0.6032 0.6111 -0.3964 0.0208 0.0743	-0.4652 -0.2344 0.8602 0.2217 0.2729 0.7252	0.5322 -1.4459 -0.3337 0.1188 0.3307 -0.2267	0.1465 -0.4560 1.0697 0.2828 -0.2484 0.5927	0.4226 -0.4580 -0.8028 0.6469
-1.2924 -0.8408 0.2928 -1.5294 0.5018 0.1109	-0.8975 2.2524 -0.8811 -1.1145 -2.2151 0.9203	0.7092 0.8394 0.3317 0.5024 0.3105 0.9713	-0.2147 0.9305 0.0318 -0.3114 1.2279 0.1186	0.7815 0.5901 -0.1415 0.2404 -0.3273 0.1841	-0.3766 -0.3046 0.3364 -1.0597
1.8913 -0.6658 1.6271 0.3995 0.9406 0.9163	0.2578 -1.9996 -0.6606 -1.1866 0.2807 0.9573	0.2125 0.6332 0.7006 0.0775 -0.8691 0.5203	0.2529 0.5107 0.4310 0.8412 -0.2033 -1.0870	-0.8296 -0.4330 -0.6976 0.3693 0.5222 -0.1130	0.0295 -0.1110 -0.9233 0.8629
-0.6027 -0.4209 0.4203 0.7693 0.4354 0.8268	0.9115 -0.3166 0.6827 0.8090 -0.2000 0.0454	0.9840 0.6158 0.6911 -0.7909 0.8940 -0.6601	0.7209 -0.4809 -0.5989 0.1150 1.3675 0.5711	-0.0383 0.9889 0.9450 0.3447 0.7387 -0.7038	-0.6558 0.4274 -0.6087 -0.2187
-0.0843 0.5805 0.7708 -0.1522 0.7080 -0.2249	-0.4648 0.3872 0.1575 -0.7258 0.1746 0.6913	0.0192 0.2341 -0.8631 0.0980 0.8053 -0.6599	-0.3029 -0.1715 -0.8275 -0.0540 0.5605 -0.2727	-0.3544 0.8884 0.5403 0.6862 0.5084 -0.5803	0.2020 0.7994 -0.0058 -1.0788
0.8602 0.8385 -0.1421 -0.5666 0.9800 -0.0054	0.8949 0.1634 -0.2424 0.5732 0.9052 0.7961	-0.4998 0.1158 -0.1194 0.3886 0.3861 0.0535	0.9100 0.3972 -0.3270 0.6204 -0.0092 0.6490	-0.5859 0.1585 0.9423 -0.9174 0.2318 0.4018	-0.3247 0.0252 -0.4548 -0.5174
0.4490 -0.5296 -0.2747 1.8068 0.5066 0.4319	0.7965 0.2787 -0.3057 -0.3724 0.6874 0.8629	0.3996 -0.3648 0.9180 -0.1621 -0.3708 0.0046	0.7031 0.3298 -0.0016 -0.2679 -0.0455 0.8653	-0.6759 0.8095 -0.1452 0.4148 1.0552 0.9174	-0.0871 -0.1385 -0.1681 -0.3836
0.9592 0.4039 0.2576 0.9865 -0.7281 0.3248	-0.6191 -1.0832 0.2213 -0.2866 0.3532 -0.0837	0.8880 0.1560 1.0712 -0.6339 -0.3083 0.2777	0.7102 -0.1180 0.7044 0.9344 0.4574 -0.1941	0.8370 0.3149 0.7938 0.2422 0.0504 0.2983	-0.3199 0.9678 0.1930 0.8469
-1.4830 0.6614 -1.2539 0.2368 -0.3483 -0.6647	0.4660 0.0201 0.4411 -0.7929 0.1305 0.5185	0.2409 0.9898 -0.4592 -0.5266 -0.8406 -0.3512	-1.1386 0.2397 -0.7888 0.1425 -0.0774 -0.2131	-0.8600 0.5590 0.6311 0.3094 0.0232 0.7592	-0.3589 1.0586 -0.9093 -1.2089
-0.5718 0.9440 0.5995 -0.6433 -0.9428 -0.8759	-0.6536 0.6250 0.4071 0.4773 -0.8232 0.8778	-0.3311 -0.0158 -0.6234 0.9092 0.0439 -0.2038	-0.3558 -0.6887 0.8227 0.5570 0.9292 -0.8607	0.9365 0.1382 -0.1735 0.7756 -0.3708 -0.5694	-0.5375 -0.6916 0.7694 -0.4025
0.3738 0.7904 -0.2325 -0.0682 0.3883 -0.6741	-0.7928 1.1122 0.8580 -0.1526 -1.0160 0.6215	-0.0116 0.3746 -0.8953 -0.0764 0.2191 -0.3443	-0.4537 0.5723 -0.5775 0.3726 0.8680 0.8281	0.4165 -0.5941 0.9138 -0.4793 0.3561 0.3600	0.4756 0.6448 0.7115 0.2621
-0.4705 -0.1868 -0.8387 -0.4750 0.9101 -0.5021	-0.3736 -0.9245 -0.9447 -0.4285 0.6330 0.8611	-0.2015 -0.0371 0.3478 0.6430 0.4562 -0.8100	0.3307 0.5450 -0.2738 -0.5875 0.0387 0.3890	-0.9742 0.8421 -0.3952 -0.8890 -0.1651 -0.3772	-0.5560 -0.6289 -0.8344 0.8409
0.4340 0.8993 -0.4155 -0.4954 0.4512 -0.0332	-0.3068 -0.6914 -0.1887 -0.3601 0.9201 -0.1057	-0.8161 0.5116 0.2130 0.1940 -0.9958 -0.9303	-0.7053 0.0174 -0.1106 0.6690 0.7921 -0.1911	-0.9777 0.0251 -0.6215 -0.3436 -0.3603 -0.9444	0.8733 0.0319 -0.6486 -0.8159
